,estado,setor,faturamento_informado,divida_total_pj,score,taxa,atraso_corrente,prazo,valor_contrato,valor_contrato_mais_juros,valor_em_aberto
1467,DF,SERVICOS DE ALOJAMENTO/ALIMENTACAO,22000.0,16000.0,221,5.271,969,12.6,11100.6735,14163.48,4538.96
1468,SP,SERVICOS DE ALOJAMENTO/ALIMENTACAO,54000.0,29000.0,454,5.1345,0,12.6,22194.4905,27011.4,0.0
1469,SP,VAREJO,20000.0,2000.0,715,4.1265,0,12.6,16737.945,19206.0,0.0
1470,SP,SERVICOS DE ALOJAMENTO/ALIMENTACAO,120000.0,6296.0,186,5.061,1620,12.6,44655.5235,55013.16,55013.16
1471,SP,SIDERURGICA-METALURGIA,980000.0,1670000.0,310,4.2525,1171,12.6,55770.2355,63560.16,5183.71
1472,MG,SERVICOS DE ALOJAMENTO/ALIMENTACAO,70000.0,58000.0,452,4.8195,1372,12.6,55820.373,67825.08,50868.81
1473,SP,SERVICOS DIVERSOS,15000.0,0.0,339,5.6595,0,12.6,6105.3615,7973.88,0.0
1474,RS,BENS DE CONSUMO,150000.0,226000.0,212,4.3995,0,12.6,27742.0605,32302.44,0.0
1475,RJ,SERVICOS ADMINISTRATIVOS,300000.0,11000.0,210,4.557,0,12.6,111584.382,131115.0,0.0
1476,SP,VAREJO,25000.0,19000.0,607,4.809,0,12.6,3329.4345,4016.04,0.0
1477,MS,INDUSTRIA DA CONSTRUCAO,291183.0,463000.0,208,4.305,1044,12.6,78151.7625,92197.2,24719.44
1478,RJ,VAREJO,120000.0,68000.0,195,4.473,1317,12.6,22194.669,26079.36,23814.91
1479,PE,BENS DE CONSUMO,20000.0,30000.0,846,5.0505,0,12.6,8880.102,11109.24,0.0
1480,GO,VAREJO,35000.0,61000.0,404,5.3235,1156,12.6,5548.6725,6831.48,3953.45
1481,RN,VAREJO,50000.0,495.0,285,5.2395,0,12.6,11097.198,13584.12,0.0
1482,MG,BENS DE CONSUMO,30000.0,0.0,397,5.46,0,12.6,5549.9325,7094.28,0.0
1483,CE,BENS DE CONSUMO,50000.0,37000.0,360,5.1975,1011,12.6,11096.0325,13383.36,5476.03
1484,RJ,TRANSPORTE,30000.0,6000.0,416,4.9455,0,12.6,11100.495,13849.32,0.0
1485,CE,VAREJO,30000.0,0.0,256,5.502,0,10.5,8802.8325,10615.0,0.0
1486,AL,INDUSTRIA DA CONSTRUCAO,120000.0,0.0,117,4.7985,216,12.6,11097.9015,13353.96,12160.37
1487,SP,TEXTEIS,90000.0,78000.0,320,4.746,0,12.6,21088.5465,25654.8,0.0
1488,RJ,SIDERURGICA-METALURGIA,80000.0,57000.0,230,4.872,0,12.6,16647.8235,20254.2,0.0
1489,BA,VAREJO,19000.0,913.0,290,5.166,0,12.6,11099.3715,13864.68,0.0
1490,SP,ATACADO,700000.0,2263000.0,239,3.9585,0,6.3,86775.927,90816.66,82816.3
